timestamp,dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_errors,tx_errors,rx_dropped,tx_dropped
2026-04-20 16:46:03,0000000000000002,1,27,27,3158,3158,0,0,0,0
2026-04-20 16:46:03,0000000000000002,2,37,28,2090,3268,0,0,0,0
2026-04-20 16:46:03,0000000000000002,3,38,29,2180,3358,0,0,0,0
2026-04-20 16:46:03,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:46:13,0000000000000002,1,27,27,3158,3158,0,0,0,0
2026-04-20 16:46:13,0000000000000002,2,37,28,2090,3268,0,0,0,0
2026-04-20 16:46:13,0000000000000002,3,38,29,2180,3358,0,0,0,0
2026-04-20 16:46:13,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:46:23,0000000000000002,1,30,28,3368,3228,0,0,0,0
2026-04-20 16:46:23,0000000000000002,2,37,32,2090,3548,0,0,0,0
2026-04-20 16:46:23,0000000000000002,3,39,32,2250,3568,0,0,0,0
2026-04-20 16:46:23,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:46:33,0000000000000002,1,58,55,5281,5127,0,0,0,0
2026-04-20 16:46:33,0000000000000002,2,54,56,3280,5134,0,0,0,0
2026-04-20 16:46:33,0000000000000002,3,55,57,3370,5224,0,0,0,0
2026-04-20 16:46:33,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:46:43,0000000000000002,1,58,55,5281,5127,0,0,0,0
2026-04-20 16:46:43,0000000000000002,2,54,56,3280,5134,0,0,0,0
2026-04-20 16:46:43,0000000000000002,3,55,57,3370,5224,0,0,0,0
2026-04-20 16:46:43,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:46:53,0000000000000002,1,58,56,5281,5197,0,0,0,0
2026-04-20 16:46:53,0000000000000002,2,54,57,3280,5204,0,0,0,0
2026-04-20 16:46:53,0000000000000002,3,55,57,3370,5224,0,0,0,0
2026-04-20 16:46:53,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:47:03,0000000000000002,1,58,56,5281,5197,0,0,0,0
2026-04-20 16:47:03,0000000000000002,2,54,57,3280,5204,0,0,0,0
2026-04-20 16:47:03,0000000000000002,3,55,58,3370,5294,0,0,0,0
2026-04-20 16:47:03,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:47:13,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:47:13,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:47:13,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:47:13,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:47:23,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:47:23,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:47:23,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:47:23,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:47:33,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:47:33,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:47:33,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:47:33,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:47:43,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:47:43,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:47:43,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:47:43,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:47:53,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:47:53,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:47:53,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:47:53,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:48:03,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:48:03,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:48:03,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:48:03,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:48:13,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:48:13,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:48:13,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:48:13,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:48:23,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:48:23,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:48:23,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:48:23,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:48:33,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:48:33,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:48:33,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:48:33,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:48:43,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:48:43,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:48:43,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:48:43,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:48:53,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:48:53,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:48:53,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:48:53,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:49:03,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:49:03,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:49:03,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:49:03,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:49:13,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:49:13,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:49:13,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:49:13,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:49:23,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:49:23,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:49:23,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:49:23,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:49:33,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:49:33,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:49:33,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:49:33,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:49:43,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:49:43,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:49:43,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:49:43,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:49:53,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:49:53,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:49:53,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:49:53,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:50:03,0000000000000002,1,59,56,5351,5197,0,0,0,0
2026-04-20 16:50:03,0000000000000002,2,54,58,3280,5274,0,0,0,0
2026-04-20 16:50:03,0000000000000002,3,55,59,3370,5364,0,0,0,0
2026-04-20 16:50:03,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:50:13,0000000000000002,1,60,56,5421,5197,0,0,0,0
2026-04-20 16:50:13,0000000000000002,2,54,59,3280,5344,0,0,0,0
2026-04-20 16:50:13,0000000000000002,3,55,60,3370,5434,0,0,0,0
2026-04-20 16:50:13,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:52:09,0000000000000002,1,61,58,5528,5374,0,0,0,0
2026-04-20 16:52:09,0000000000000002,2,55,61,3350,5521,0,0,0,0
2026-04-20 16:52:09,0000000000000002,3,56,62,3440,5611,0,0,0,0
2026-04-20 16:52:09,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:52:19,0000000000000002,1,61,58,5528,5374,0,0,0,0
2026-04-20 16:52:19,0000000000000002,2,55,61,3350,5521,0,0,0,0
2026-04-20 16:52:19,0000000000000002,3,56,62,3440,5611,0,0,0,0
2026-04-20 16:52:19,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:57:08,0000000000000002,1,30,28,3405,3265,0,0,0,0
2026-04-20 16:57:08,0000000000000002,2,38,31,2180,3532,0,0,0,1
2026-04-20 16:57:08,0000000000000002,3,37,33,2090,3692,0,0,0,0
2026-04-20 16:57:08,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:57:18,0000000000000002,1,30,28,3405,3265,0,0,0,0
2026-04-20 16:57:18,0000000000000002,2,38,31,2180,3532,0,0,0,1
2026-04-20 16:57:18,0000000000000002,3,37,33,2090,3692,0,0,0,0
2026-04-20 16:57:18,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:57:28,0000000000000002,1,31,29,3475,3335,0,0,0,0
2026-04-20 16:57:28,0000000000000002,2,39,32,2250,3602,0,0,0,1
2026-04-20 16:57:28,0000000000000002,3,37,35,2090,3832,0,0,0,0
2026-04-20 16:57:28,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:57:38,0000000000000002,1,31,29,3475,3335,0,0,0,0
2026-04-20 16:57:38,0000000000000002,2,39,32,2250,3602,0,0,0,1
2026-04-20 16:57:38,0000000000000002,3,37,35,2090,3832,0,0,0,0
2026-04-20 16:57:38,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 16:57:48,0000000000000002,1,32,30,3545,3405,0,0,0,0
2026-04-20 16:57:48,0000000000000002,2,39,34,2250,3742,0,0,0,1
2026-04-20 16:57:48,0000000000000002,3,37,37,2090,3972,0,0,0,0
2026-04-20 16:57:48,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:02:17,0000000000000002,1,29,27,3318,3158,0,0,0,0
2026-04-20 17:02:17,0000000000000002,2,26,31,1656,3478,0,0,0,0
2026-04-20 17:02:17,0000000000000002,3,26,29,1676,3318,0,0,0,0
2026-04-20 17:02:17,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:06:46,0000000000000002,1,28,27,3228,3158,0,0,0,0
2026-04-20 17:06:46,0000000000000002,2,24,29,1500,3318,0,0,0,0
2026-04-20 17:06:46,0000000000000002,3,26,29,1676,3318,0,0,0,0
2026-04-20 17:06:46,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:06:56,0000000000000002,1,30,27,3368,3158,0,0,0,0
2026-04-20 17:06:56,0000000000000002,2,24,32,1500,3528,0,0,0,0
2026-04-20 17:06:56,0000000000000002,3,26,32,1676,3528,0,0,0,0
2026-04-20 17:06:56,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:07:06,0000000000000002,1,31,28,3475,3265,0,0,0,0
2026-04-20 17:07:06,0000000000000002,2,24,34,1500,3742,0,0,0,0
2026-04-20 17:07:06,0000000000000002,3,26,34,1676,3742,0,0,0,0
2026-04-20 17:07:06,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:07:16,0000000000000002,1,32,28,3545,3265,0,0,0,0
2026-04-20 17:07:16,0000000000000002,2,24,35,1500,3812,0,0,0,0
2026-04-20 17:07:16,0000000000000002,3,26,35,1676,3812,0,0,0,0
2026-04-20 17:07:16,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:07:26,0000000000000002,1,32,30,3545,3405,0,0,0,0
2026-04-20 17:07:26,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:07:26,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:07:26,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:07:36,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:07:36,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:07:36,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:07:36,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:07:46,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:07:46,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:07:46,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:07:46,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:07:56,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:07:56,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:07:56,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:07:56,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:08:06,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:08:06,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:08:06,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:08:06,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:08:16,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:08:16,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:08:16,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:08:16,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:08:26,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:08:26,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:08:26,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:08:26,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:08:36,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:08:36,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:08:36,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:08:36,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:08:46,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:08:46,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:08:46,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:08:46,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:08:56,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:08:56,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:08:56,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:08:56,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:09:06,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:09:06,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:09:06,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:09:06,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:09:16,0000000000000002,1,32,31,3545,3475,0,0,0,0
2026-04-20 17:09:16,0000000000000002,2,25,36,1570,3882,0,0,0,0
2026-04-20 17:09:16,0000000000000002,3,27,36,1746,3882,0,0,0,0
2026-04-20 17:09:16,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:09:26,0000000000000002,1,32,31,3545,3475,0,0,0,0
